Timestamp,Gender,Age,Education,Occupation,How many years have you been working as a software engineer?,What is your current level of expertise in software engineering?,Which company(s) do you currently work for or have you previously worked for in the past as a software engineer?,Which of the following types of companies have you worked for as a software engineer? (Select all that apply),How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,Have you ever been involved in implementing dark pattern user interface designs in your work as a software engineer?,"Which types of dark pattern designs have you implemented in your work as a software engineer? (Select all that apply)
Image sources: Nagging, Obstruction, Sneaking, Interface Interference, Forced Action",Have you ever been pressured or encouraged by stakeholders or management to implement dark patterns in your projects?,What factors influence your decision to implement dark patterns in your projects? (Select all that apply),What factors influence your decision not to implement dark patterns in your projects? (Select all that apply),How do you perceive the impact of dark patterns on user trust?,How do you perceive the impact of dark patterns on user satisfaction?,How important do you believe it is to prevent the implementation of dark patterns in software development?,Have you ever raised concerns or objections about the use of dark patterns in your projects?,"If yes, please provide further details or examples of the specific dark patterns you objected to and the reasons behind your concerns.",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Have you utilized any tools or software to enhance the user interface (UI) design of your software applications?,"If yes, please specify the tools or software you have used for UI design improvement. Have these tools contributed to the implementation of dark patterns in your code?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Which of the following alternative solutions do you think could be helpful in preventing the implementation of dark patterns in software?,"In your opinion, what ethical responsibilities do software developers have regarding the use of dark patterns in user interface design?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,"Do you believe there should be industry regulations or guidelines regarding the use of dark patterns in software development? Why, and why not?",Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization
2/16/2024 10:21:00,Male,45 - 54,Master's degree,Software Engineer,Over 10 years,Principal Engineer,"Blackbaud, Duck Creek Technologies",,2,No,Not applicable/I've never implemented a dark pattern design before,No,"Ethical considerations, Legal compliance, User experience (UX) principles, ",,Very negative,,5,Not Applicable,,,,,,Yes,"Figma, ChatGPT","Figma, ChatGPT","Figma, ChatGPT","Figma, ChatGPT","design tools, AI tools","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams","Engineers should avoid tricking the user into click the wrong buttons, or making decisions without proper thought.  Adding an are you sure, or confirmation page would be of importance in any transactional actions.","avoid tricking users, confirmation options, informed actions","avoid trcking users, UI/UX design, button, confirmation, transaction","avoid tricking users, UI/UX design, confirmation, informed actions",avoid trick,I think this is an ethics thing more than anything as it would be difficult to police.  The only way I can think policing is possible would be through the use of AI controlled bots that looked around the internet for these types of behaviors.  ,negative,neutral,neutral,"ethical issues, hard to regulate, usage of AI-controlled","ethical issue, AI bots to reform","ethical issues, usage of AI-controlled bots",unsure/doubt
2/27/2024 16:01:10,Female,25 - 34,Master's degree,Software engineer,3 - 5 years,Software Engineer,,"Technology/Software Company, Goverment",2,No,,No,I don't think I face any situation to implement it,"Company culture, The company develop software for government, I don't think they will not anything related to dark pattern",Very negative,Negative,4,Not Applicable,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams, Global, guideline training by government requirement","It is difficult for software developers if that's client requirement, but maybe at least software developers can raise concern to the companies? ","difficult for developers, client requirements, raise concerns ","customer requirement, raise concerns","difficult for developers, client requirements, raise concerns ",raise concerns,"Yes, then it makes it more difficult for client to propose incorrect requirement if there is regulation and easier for project manager to debate and push back ",positive,positive,positive,"less incorrect requirements from clients, more debate space for managers","client proposal, management","client requirements, management",yes
2/29/2024 12:09:11,Male,25 - 34,Doctoral degree,GRA,6 - 10 years,Senior Software Engineer,Amazon.com,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,"Pressure from stakeholders or management, Meeting business goals or targets","Meeting business goals or targets, Ethical considerations, Legal compliance, User experience (UX) principles, Company culture",Very negative,Very negative,5,"Yes, and they were addressed","It wasn't clear to colleagues that the feature implied dark patterns. After discussing, they moved away from the idea.","dark pattern or not, colleagues discussion, avoid dark pattern",avoid dark pattern,"colleagues discussion, avoid dark pattern",details: avoid using dark patterns,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",,,,,,Absolutely! Otherwise people keep taking leverage of absence of them. ,neutral,positive,neutral,less take advantage,absence of regulation,regulation,yes
3/11/2024 11:55:48,Male,25 - 34,Bachelor's degree,Graduate Student,Less than 1 year,None,Yeonpick,Technology/Software Company,3,No,Not applicable/I've never implemented a dark pattern design before,Maybe,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, Legal compliance, User experience (UX) principles",Very negative,Very negative,4,No,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices","The essential information should be easily visible, and the selection should be easily retracted","""visibility of system status"", visible information, ""user control and freedom"", retracted selection","information, selection, ease of use, no sneaking","visible information, retracted selection, avoid dark pattern",avoic trick,"Yes.
New features are emerging, and dropping the whole responsibility to the user is inappropriate, since users need time to adapt to new features. ",negative,positive,positive,"emerging features, irresponsible to users, adaption time","new features, user responsbility","new features, user responsibility, adaptation time",yes
3/13/2024 9:38:04,Male,25 - 34,Doctoral degree,Student ,3 - 5 years,Software Engineer,"Acquia, Lutron Electronics","Technology/Software Company, Education, Manufacturing/Industrial",3,No,Not applicable/I've never implemented a dark pattern design before,No,Pressure from stakeholders or management,"Ethical considerations, User experience (UX) principles, Company culture",Very negative,Very negative,5,No,,,,,,Yes,"Mostly used general frontend frameworks such as Vue and React to improve UI. No, these tools did not contribute to the implementation of dark patterns. ","frontend frameworks, Vue, React, no contribution to DPs","Vue, React, no dark pattern","frontend, Vue, React, no dark pattern","frontend frameworks, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",It is the responsibility of software engineers to provide the best possible experience to the end users. Using or implementing dark patterns is a violation of this ethical responsibility.,"provide good UX, follow ethical responsibility","user experience, ethical practice","UI/UX design, ethical practice, user experience",better UX,"Yes there should be regulations against dark patterns in software development. Because, this will further help in preventing the implementation of dark patterns.",netural,positive,positive,"regulation needed, prevent implementation of DPs",avoid dark pattern,"regulation, avoid dark pattern",yes
3/21/2024 18:37:08,Prefer not to say,45 - 54,High School,Software Engineer,Over 10 years,Principal Engineer,"Elastic, Wikimedia Foundation, Google, various startups and consulting gigs",Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,Yes,"n/a, refused to implement","Ethical considerations, User experience (UX) principles, Company culture",Very negative,Very negative,4,"Yes, but they were ignored","I left a non-profit (the name of the organization is not shown due to the confidentiality), partly due to ethical conflicts between engineering and fundraising divisions.  Any time an organization brings in professional manager types, the bureaucracy will expand to meet the needs of the bureaucracy, and before too long, the takers will out-number the makers.  At WMF, I worked with some great, mission-driven engineers, but the rest of the organization were essentially grifters.","Wikimedia Foundation, non-profit organization, ethical concern, bureaucracy needs, grifters","Wikimedia Foundation, ethical conflict, new managers","Wikimedia Foundation, non-profit, ethical concern","details: ethical concerns, non-profit",Yes,,,,,,Throw all the world's MBAs into a giant pit of lava,"If you can't convince your organization to change, change organizations.  And if you're unwilling to switch jobs (given the incredible demand for software engineers), the ethical thing to do is to kill yourself so that noone else will be harmed by your actions.","convince organization, change jobs","questioning ethical values, quit job",change jobs,change organization,No.  Government regulation has never solved anything.  Any attempts to regulate this will be about as effective as EU cookie banners.,negative,negative,negative,"unwork government regulation, effective regulation as EU cookie banners","won't be effective, EU banners","EU cookie banners, regulation, government",no
3/21/2024 20:13:12,Male,35 - 44,Bachelor's degree,Technical Support Manager,Over 10 years,Staff Engineer,,Technology/Software Company,4,No,,No,Pressure from stakeholders or management,Pressure from stakeholders or management,Very negative,Very negative,5,"Yes, but they were ignored",,,,,,Yes,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Encouraging a culture of transparency and accountability within development teams",,,,,,,,,,,,,
3/21/2024 20:38:46,Non-binary,18 - 24,Some College,Student,1 - 2 years,Junior Software Engineer,Self; open source projects,"Technology/Software Company, Non-profit Organization",5,No,Not applicable/I've never implemented a dark pattern design before,No,N/A,"Ethical considerations, User experience (UX) principles, Company culture",Very negative,Very negative,4,"Yes, and they were addressed","client analytics being something that you could agree to by accident -- not truly informed consent, if someone was speeding through the form","client analytic, consent form, false informed consent","consent, client analytics","client analytics, consent form","example: false informed consent, user underaware",Yes,"Figma, Penpot. in the projects i work on, i'm either the sole frontend engineer, or work in a team of 1-2 and do the design.","Figma, Penpot, frontend engineer, sole design, team design","Figma, Penpot","Figma, Penpot, frontend, design","design tools, frontend frameworks","Strict adherence to ethical guidelines in UI/UX design, Encouraging a culture of transparency and accountability within development teams","
dark patterns are nuanced. a dark pattern to nudge or even force people to update their software is a required evil -- average users are awful at updating their software.

ultimately, if it harms the user in any way, or sacrifices privacy, or is otherwise not in the best interest of the user in any way, they have no place in software.

dark patterns that encourage users to do things in their best interest (that is, *GENUINELY* their best interest, e.g. update nudges, or to prevent mistakes by confirming destructive actions) are completely fair game, and even a moral responsibility that they *are* implemented.
","avoid update nudges, avoid forced updates, no harm to users, no privacy sacrifice, DPs to encourage good behaviors","update software, nudge, user experience, privacy, good examples of dp","nudge, avoid update, user experience, dark pattern to encourage good behavior","avoid harm, avoid trick","absolutely, yes. companies have zero incentive to respect the privacy of people, and will use any trick they can to manipulate people into doing things against their wishes.

as long as there is an exception carved out for benign dark patterns (that is, dark patterns that do not cost the user any time, money, privacy, or anything else should they pick the default path), i am all for regulation.",negative,positive,positive,"privacy issues, tricking users, manipulation, companies' interests, benign dark patterns","companies have no respect for provacy, manipulation","manipulation, trick users, privacy issues",yes
3/23/2024 17:06:58,Female,25 - 34,Some College,Software Architect and Engineer,Over 10 years,Principal Engineer,Self-Employed Consultant,"Technology/Software Company, Medical/Healthcare, Education, Manufacturing/Industrial, Non-profit Organization",3,No,e ,Maybe,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, Legal compliance, Company culture",Very negative,Very negative,5,"Yes, but they were ignored",Soliciting One-Click Donations on a Non-Profit's website with saved Credit Card data.,"non-profit website, one-click donation, saved credit card info","save credit card data, sneaking, forced action","non-profit, save credit card info, forced action","example: non-profit, data collection",Yes,"Adobe Photoshop & Fireworks, GIMP; No","Adobe Photoshop, Adobe Fireworks, GIMP, no contribution to DPs","Adobe Photoshop & Fireworks, GIMP, no dark pattern","Adobe Photoshop, Adobe Fireworks, GIMP, no dark pattern","graphic editors, image editors, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",Refusal to implement the requested code.,code implementation refusal,avoid dark pattern,avoid dark pattern,no implementation,There are and the issues were raised at the time.,netural,positive,neutral,"regulation, issues raised",concerns raised,"raised concerns, regulation",yes
3/24/2024 7:57:02,Male,25 - 34,Bachelor's degree,IT consultant,6 - 10 years,IT consultant,Canonical,Technology/Software Company,3,No,Not applicable/I've never implemented a dark pattern design before,No,N/A,"Ethical considerations, User experience (UX) principles, Company culture",Very negative,Negative,4,No,,,,,,Maybe,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams","I've never worked at, or know any software engineer who has worked at a company that is managed completely top-down, so from my experience there is a good chance a software engineer can object to implementing dark patterns and have their objections be considered. Software engineers shouldn't build things they themselves would be annoyed, frustrated, or stressed about using, and should push back on any pressure to do so.","top-down managed company, objections to DPs, suggestions considerations, push back, designs self-hated","avoid dark pattern, user experience, object to implement","object to dark pattern, avoid dark pattern, disliked designs","no implementation, raise concerns","Industry regulations would be good, but as with all regulation the devil is in the details i.e. it might not be easy to draw the line between ""legitimate sales tactic"" and ""dark pattern"". I doubt we'll ever see something like a Hippocratic oath for software engineers, but there are definitely some egregious dark patterns that should be banned and have that ban enforced. Countries already have regulations regarding (false) advertising so it's not a huge stretch that regulating dark patterns may be an extension of that. ",negative,neutral,neutral,"industry regulation, ban enforced, false advertising regulations, dark patterns regulations","false advertising, sales tactic","regulation, banned, false ads, sales",unsure/doubt
