Timestamp,Gender,Age,Education,Occupation,How long do you use the mobile phone in your daily life?,How long do you use the laptop/desktop in your daily life?,What do you primarily use your devices for?,How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,"What is your reactions when you detect the following dark pattern design? 
(Nagging: imagine when you are using Instagram, it keeps nagging you to turn on notifications, repeating this regularly over a period of time...)",Can you describe your reactions more in detail regarding the previous example? ,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Nagging) of dark pattern? ,Which application(s) do you face with (Nagging) dark pattern designs the most?,How confident are you in your ability to detect the (Nagging) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Nagging) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Obstruction: imagine you sign up and subscribe to a service very easily, however, you find out it's extremely hard to cancel as you are required to call customer service to cancel or more effort is needed...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Obstruction) of dark pattern? ,Which application(s) do you face with (Obstruction) dark pattern designs the most?,How confident are you in your ability to detect the (Obstruction) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Obstruction) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Sneaking: Imagine you intend to buy a product online for its lower price compared to other sellers, you're drawing to go through a lengthy series of steps, and then at the end immediately before payment, reveal a final higher price...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Sneaking) of dark pattern? ,Which application(s) do you face with (Sneaking) dark pattern designs the most?,How confident are you in your ability to detect the (Sneaking) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Sneaking) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Interface Interferences: Imagine you want to unsubscribe email notification from Amazon, but you spend an amount of time to locate the ""unsubscribe here"" button because it grayed out in front of a gray background, making it harder to see...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Interface Interferences) of dark pattern? ,Which application(s) do you face with (Interface Interferences) dark pattern designs the most?,How confident are you in your ability to detect the (Interface Interferences) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Interface Interferences) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Forced Action: Imagine you have to accept the newsletter subscription to continue signing up for an account for a product...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Forced Action) of dark pattern? ,Which application(s) do you face with (Forced Action) dark pattern designs the most?,How confident are you in your ability to detect the (Forced Action) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Forced Action) dark pattern example?,What are your reactions toward applications when encountering dark patterns?,Can you think of other example(s) you have experienced of dark pattern designs?,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final
2/23/2024 13:03:33,Female,18 - 24,Bachelor's degree,Student,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",1,"Curiosity, Neutral, Mild concern",,,,,,,,Frequently,"Amazon, Facebook, Google",2,2,"Curiosity, Understanding, Empowerment",,,,,,,,Occasionally,"Amazon, Facebook, Microsoft",2,2,"Curiosity, Understanding, Empowerment",,,,,,,,Frequently,"Amazon, Facebook, Microsoft",2,1,"Empowerment, Appreciation, Trust",,,,,,,,Frequently,"Amazon, Facebook, Microsoft",2,2,"Empowerment, Appreciation, Trust",,,,,,,,Frequently,"Amazon, Google, Instagram",2,2,"Ignore the Dark Pattern, Continue Using with Caution",,,,
2/23/2024 13:05:06,Female,18 - 24,Some College,Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",3,"Curiosity, Neutral, Frustration",,,,,,,,Frequently,"Amazon, Google, Microsoft, Instagram, LinkedIn, YouTube",3,3,"Frustration, Anger, Distrust, Disappointment",,,,,,,,Frequently,"Twitter, ",3,3,"Frustration, Distrust, Disappointment",,,,,,,,Occasionally,"Facebook, TikTok",3,3,"Mile concern, Annoyance",,,,,,,,Occasionally,"Amazon, Google, Microsoft, Instagram",3,3,Annoyance,,,,,,,,Very frequently,"Facebook, LinkedIn, Slack, Twitter, TikTok, YouTube",4,4,"Ignore the Dark Pattern, Continue Using with Caution, Opt-Out or Unsubscribe",,,,
2/23/2024 13:05:15,Male,18 - 24,Some College,student,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Browsing the Internet, Social Media, Gaming, Entertainment",1,"Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"TikTok, YouTube",4,3,"Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"LinkedIn, Slack, TikTok",3,3,"Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,Amazon,3,3,"Anger, Distrust, Disappointment",,,,,,,,Very frequently,Amazon,4,3,"Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Amazon, Facebook",4,4,"Ignore the Dark Pattern, Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",,,,
2/23/2024 13:05:41,Male,18 - 24,High School,Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",3,"Curiosity, Annoyance",,,,,,,,Frequently,"Google, Instagram, LinkedIn, Slack, Twitter, TikTok, YouTube",3,2,Neutral,,,,,,,,Rarely,Expedia,2,3,"Anger, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Google, Expedia",4,4,"Frustration, Anger, Disappointment, Annoyance",,,,,,,,Occasionally,"Amazon, Facebook, Google, Twitter, YouTube",4,2,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Occasionally,"Google, Microsoft, YouTube, Expedia",3,3,"Continue Using with Caution, Look for Alternatives, Adjust Privacy and Notification Settings",,,,
2/23/2024 13:06:06,Male,18 - 24,Some College,College Student,2 to 4 hours,More than 6 hours,"Education, Communication/Networking, Browsing the Internet, Social Media, Entertainment",1,"Mild concern, Frustration, Annoyance",,,,,,,,Rarely,"Instagram, Twitter, TikTok",1,3,"Frustration, Anger",,,,,,,,Rarely,None of these,2,4,"Mild concern, Frustration, Anger, Disappointment, Annoyance",,,,,,,,Occasionally,Amazon,2,4,Annoyance,,,,,,,,Rarely,Amazon,2,2,"Frustration, Anger, Annoyance",,,,,,,,Rarely,"Amazon, Instagram, Twitter",4,5,"Ignore the Dark Pattern, Continue Using with Caution, Opt-Out or Unsubscribe",,,,
2/23/2024 13:06:21,Male,18 - 24,Bachelor's degree,student,2 to 4 hours,4 to 6 hours,"Education, Work or Professional Tasks, Browsing the Internet, Social Media",4,"Frustration, Annoyance",,,,,,,,Frequently,"Google, TikTok",4,2,Anger,,,,,,,,Frequently,Amazon,4,4,"Frustration, Anger, Distrust",,,,,,,,Frequently,Expedia,4,3,"Anger, Distrust, Disappointment",,,,,,,,Frequently,"Amazon, Microsoft",4,4,"Mild concern, Annoyance",,,,,,,,Frequently,"Amazon, Google, Slack, Expedia",4,4,"Look for Alternatives, Opt-Out or Unsubscribe",,,,
2/23/2024 13:07:45,Female,18 - 24,Some College,Computer Science,2 to 4 hours,More than 6 hours,"Education, Communication/Networking, Entertainment",3,"Neutral, Annoyance","I’m used to sites nagging, its annoying sometimes but I’m pretty neutral to it now. I just automatically click no.",negative,neutral,neutral,"used to it, annoying","nagging, used-to, neutral, automatically click no","used to it, annoying, nagging",Occasionally,"TikTok, YouTube",5,5,"Distrust, Disappointment, Annoyance",,,,,,,,Rarely,I’m not sure,4,4,"Distrust, Disappointment, Annoyance",,,,,,,,Occasionally,"Amazon, Instagram",4,4,Annoyance,,,,,,,,Frequently,"Amazon, Instagram, LinkedIn, TikTok, YouTube",5,5,"Neutral, Annoyance",,,,,,,,Frequently,"Amazon, Instagram",5,5,"Ignore the Dark Pattern, Opt-Out or Unsubscribe",,,,
2/23/2024 13:07:46,Male,18 - 24,High School,Student ,4 to 6 hours,2 to 4 hours,"Education, Browsing the Internet, Social Media, Gaming, Entertainment",2,"Frustration, Disappointment, Annoyance",It’s annoying to deal with it constantly popping up. ,negative,negative,negative,"annoying, frequent popup","constantly popping, annoying","annoying, frequent pop-ups",Occasionally,"Instagram, Twitter, TikTok, YouTube",2,3,"Frustration, Disappointment, Annoyance",It’s annoying. ,negative,negative,negative,annoying,annoying,annoying,Occasionally,"TikTok, YouTube",3,3,"Frustration, Disappointment, Annoyance",,,,,,,,Occasionally,Expedia,3,3,"Frustration, Annoyance",,,,,,,,Occasionally,"Amazon, TikTok, YouTube",3,3,"Disappointment, Annoyance",,,,,,,,Occasionally,Gaming sites,3,3,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives",,,,
2/23/2024 13:07:51,Male,18 - 24,Some College,Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Gaming, Entertainment",2,"Frustration, Annoyance",It keep blocking what I want to see with a info I don’t care about,negative,negative,negative,block information,"blocking, info, don't care about",block information,Frequently,Mobile games,5,4,"Frustration, Anger, Annoyance",Very annoying especially when it sends me lot of emails or costs a lot of money,negative,negative,negative,"annoying, email bombing, financial loss","annoying, emails, costs","annoying, email bombing, financial loss",Occasionally,Public goods(the website),5,2,"Frustration, Anger, Distrust, Annoyance",,,,,,,,Very frequently,"Amazon, Temu",5,2,"Anger, Annoyance",,,,,,,,Frequently,Amazon,5,1,"Distrust, Annoyance",,,,,,,,Very frequently,Games,1,1,"Ignore the Dark Pattern, Look for Alternatives, Opt-Out or Unsubscribe",,,,
2/23/2024 13:09:07,Male,18 - 24,Some College,Student,4 to 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Gaming, Entertainment",4,Annoyance,If it’s telling me everytime to turn them on I would get pretty annoyed,negative,negative,negative,annoying,"turn on each time, annoyed",annoying,Frequently,"Amazon, Google, Instagram, LinkedIn, Twitter",5,1,"Frustration, Anger, Annoyance",,,,,,,,Very frequently,Microsoft,5,2,"Frustration, Anger, Distrust, Annoyance",,,,,,,,Very frequently,"Amazon, Microsoft",5,4,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, LinkedIn, YouTube, Expedia",5,5,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, LinkedIn",5,2,"Continue Using with Caution, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",,,,
